관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00001,수락산<시공원>,도시자연공원,,상계 산3-1,37.691731,127.065515,6691885.3,,,"통제소 1, 화장실 25",,,,,,2021-09-13
11350-00002,불암산<시공원>,도시자연공원,서울특별시 노원구 한글비석로12길 51-49,중계 산101-1,37.65550096,127.0810225,5332422.0,,,"통제소 1, 화장실 27",,,,,,2021-09-13
11350-00003,상  계,근린공원,서울특별시 노원구 동일로227길 106(상계동),상계 620,37.66943924,127.0504402,30479.4,,,"다목적운동장, 배드민턴장, 조깅트랙, 화장실",,,,,,2021-09-13
11350-00004,갈  말,근린공원,"서울특별시 노원구 동일로 227길 85 (상계동, 상계주공11단지 아파트)",동일로227길 85,37.66649572,127.0523447,10000.9,,,"배드민턴장, 광장",,,,,,2021-09-13
11350-00005,갈  울,근린공원,서울특별시 노원구 상계로9나길8 (상계동),상계 644,37.66026965,127.0682478,9668.9,,,"정자, 배드민턴장, 야외무대",,,,,,2021-09-13
11350-00006,원  터,근린공원,"서울특별시 노원구 동일로214길 21 (상계동, 상계주공4단지 아파트)",상계753-2,37.65043289,127.0627594,10121.4,,,"배드민턴장, 지압보도",,,,,,2021-09-13
11350-00007,느티울,근린공원,서울특별시 노원구 동일로213길 52(상계동),상계 741,37.64826016,127.0582136,10000.1,,,"정자, 장미원",,,,,,2021-09-13
11350-00008,당현천,근린공원,서울 노원구 동일로 1342,상계 762-1,37.647836,127.063375,9652.5,,,"광장, 정자, 화장실",,,,,,2021-09-13
11350-00009,온  수,근린공원,서울특별시 노원구 노원로 510(상계동),노원로 510,37.66093573,127.0625889,17946.2,,,"배드민턴장, 약수터, 화장실",,,,,,2021-09-13
11350-00010,중  계,근린공원,서울특별시 노원구 동일로 1229(중계동),동일로 1229,37.6389605,127.0663451,22727.4,,,"바닥분수, 실버카페, 광장, 화장실",,,,,,2021-09-13
11350-00011,삿갓봉,근린공원,서울특별시 노원구 한글비석로 346 (중계동),한글비석로 346,37.65794941,127.0763791,10652.9,,,"파고라, 운동장, 화장실",,,,,,2021-09-13
11350-00012,노  해,근린공원,서울특별시 노원구 노원로22길 1 (중계동),중계 360-18,37.64815756,127.0706995,34646.8,,,"운동장, 정자, 인라인스케이트장, 야외무대",,,,,,2021-09-13
11350-00013,양  지,근린공원,서울특별시 노원구 한글비석로5길 40(중계동),중계 362,37.64545773,127.0748358,10508.1,,,"정자, 조합놀이대, 화장실",,,,,,2021-09-13
11350-00014,충  숙,근린공원,서울특별시 노원구 한글비석로 144 (하계동),한글비석로 144,37.64032293,127.0768027,12627.7,,,"파고라, 약수터, 화장실",,,,,,2021-09-13
11350-00015,골마을,근린공원,서울특별시 노원구 한글비석로 107 (하계동),하계 251-8,37.63840362,127.0737511,9808.1,,,"파고라, 화장실, 농구장",,,,,,2021-09-13
